"logLi","aic","bic","time","volume.group","no.param"
-269.424811122976,568.849622245952,612.091651084747,117.467313051224,1,3
-185.249611079607,400.499222159214,443.741250998009,115.711567878723,2,3
-54.1285054418606,138.257010883721,165.019855392495,47.8326852321625,3,3
