"logLi","aic","bic","time","volume","no.param"
-43.5528251746306,97.1056503492612,106.026598518852,139.830525159836,5,1
-34.1015534632117,88.2031069264233,106.045003265606,143.291750192642,5,2
-30.5220567954466,91.0441135908933,117.806958099667,146.027415990829,5,3
-85.5730444317425,181.146088863485,190.067037033076,138.480355024338,10,1
-62.3559837917343,144.711967583469,162.553863922651,142.040363073349,10,2
-40.2087964697687,110.417592939537,137.180437448311,145.964946985245,10,3
-64.5559449321469,139.111889864294,148.032838033885,138.515625,15,1
-18.9013576970945,57.802715394189,75.6446117333716,142.258152008057,15,2
-14.5551503086188,59.1103006172377,85.8731451260116,145.294602870941,15,3
-53.089033870878,116.178067741756,125.099015911347,137.476720809937,20,1
-35.1358594001424,90.2717188002847,108.113615139467,141.741901874542,20,2
-10.4301480033844,50.8602960067688,77.6231405155427,145.186092853546,20,3
-57.909127231284,125.818254462568,134.739202632159,137.022125005722,25,1
-43.6050511217146,107.210102243429,125.051998582612,142.265244960785,25,2
-37.545325604957,105.090651209914,131.853495718688,144.019757032394,25,3
-83.0619917567337,176.123983513467,185.044931683059,135.918086051941,35,1
-58.2089287803669,136.417857560734,154.259753899916,141.677561998367,35,2
-58.4539442656778,146.907888531356,173.67073304013,144.474332094193,35,3
-159.382571472697,328.765142945394,337.686091114986,136.602522850037,1000,1
-96.8584450526593,213.716890105319,231.558786444501,141.183427095413,1000,2
-72.6553409094357,175.310681818871,202.073526327645,144.117237091064,1000,3
