"Date","variable","Parameter","volume.group"
2013-01-21,"k",0.0645759340769907,"1"
2013-01-22,"k",0.0710643646612723,"1"
2013-01-23,"k",0.07424870639656,"1"
2013-01-24,"k",0.077393132427279,"1"
2013-01-25,"k",0.0804976427534291,"1"
2013-01-26,"k",0.0835622373750105,"1"
2013-01-27,"k",0.0865869162920231,"1"
2013-01-28,"k",0.089571679504467,"1"
2013-01-29,"k",0.092516527012342,"1"
2013-01-30,"k",0.0954214588156483,"1"
2013-01-31,"k",0.0982864749143859,"1"
2013-02-01,"k",0.101111575308555,"1"
2013-02-02,"k",0.103896759998155,"1"
2013-02-03,"k",0.106642028983186,"1"
2013-02-04,"k",0.109347382263648,"1"
2013-02-05,"k",0.112012819839542,"1"
2013-02-06,"k",0.114638341710867,"1"
2013-02-07,"k",0.117223947877623,"1"
2013-02-08,"k",0.11976963833981,"1"
2013-02-09,"k",0.122275413097429,"1"
2013-02-10,"k",0.124741272150479,"1"
2013-02-11,"k",0.12716721549896,"1"
2013-02-12,"k",0.129553243142872,"1"
2013-02-13,"k",0.131899355082215,"1"
2013-02-14,"k",0.13420555131699,"1"
2013-02-15,"k",0.136471831847196,"1"
2013-02-16,"k",0.138698196672833,"1"
2013-02-17,"k",0.140884645793902,"1"
2013-02-18,"k",0.143031179210401,"1"
2013-02-19,"k",0.145137796922332,"1"
2013-02-20,"k",0.147204498929694,"1"
2013-02-21,"k",0.149231285232488,"1"
2013-02-22,"k",0.151218155830712,"1"
2013-02-23,"k",0.153165110724368,"1"
2013-02-24,"k",0.155072149913455,"1"
2013-02-25,"k",0.156939273397973,"1"
2013-02-26,"k",0.158766481177923,"1"
2013-02-27,"k",0.160553773253303,"1"
2013-02-28,"k",0.162301149624115,"1"
2013-03-01,"k",0.164008610290359,"1"
2013-03-02,"k",0.165676155252033,"1"
2013-03-03,"k",0.167303784509139,"1"
2013-03-04,"k",0.168891498061675,"1"
2013-03-05,"k",0.170439295909643,"1"
2013-03-06,"k",0.171947178053043,"1"
2013-03-07,"k",0.173415144491873,"1"
2013-03-08,"k",0.174843195226135,"1"
2013-03-09,"k",0.176231330255828,"1"
2013-03-10,"k",0.177579549580952,"1"
2013-03-11,"k",0.178887853201508,"1"
2013-03-12,"k",0.180156241117494,"1"
2013-03-13,"k",0.181384713328912,"1"
2013-03-14,"k",0.182573269835761,"1"
2013-03-15,"k",0.183721910638042,"1"
2013-03-16,"k",0.184830635735753,"1"
2013-03-17,"k",0.185899445128896,"1"
2013-03-18,"k",0.18692833881747,"1"
2013-03-19,"k",0.187917316801475,"1"
2013-03-20,"k",0.188866379080912,"1"
2013-03-21,"k",0.18977552565578,"1"
2013-03-22,"k",0.190644756526079,"1"
2013-03-23,"k",0.191474071691809,"1"
2013-03-24,"k",0.19226347115297,"1"
2013-03-25,"k",0.193012954909563,"1"
2013-03-26,"k",0.193722522961587,"1"
2013-03-27,"k",0.194392175309042,"1"
2013-03-28,"k",0.195021911951928,"1"
2013-03-29,"k",0.195611732890246,"1"
2013-03-30,"k",0.196161638123995,"1"
2013-03-31,"k",0.196671627653175,"1"
2013-04-01,"k",0.197141701477786,"1"
2013-04-02,"k",0.197571859597828,"1"
2013-04-03,"k",0.197962102013302,"1"
2013-04-04,"k",0.198312428724207,"1"
2013-04-05,"k",0.198622839730543,"1"
2013-04-06,"k",0.198893335032311,"1"
2013-04-07,"k",0.199123914629509,"1"
2013-04-08,"k",0.199314578522139,"1"
2013-04-09,"k",0.1994653267102,"1"
2013-04-10,"k",0.199576159193692,"1"
2013-04-11,"k",0.199647075972616,"1"
2013-04-12,"k",0.199678077046971,"1"
2013-04-13,"k",0.199669162416757,"1"
2013-04-14,"k",0.199620332081974,"1"
2013-04-15,"k",0.199531586042622,"1"
2013-04-16,"k",0.199402924298702,"1"
2013-04-17,"k",0.199234346850213,"1"
2013-04-18,"k",0.199025853697155,"1"
2013-04-19,"k",0.198777444839528,"1"
2013-04-20,"k",0.198489120277333,"1"
2013-04-21,"k",0.198160880010569,"1"
2013-04-22,"k",0.197792724039236,"1"
2013-04-23,"k",0.197384652363334,"1"
2013-04-24,"k",0.196936664982864,"1"
2013-04-25,"k",0.196448761897824,"1"
2013-04-26,"k",0.195920943108216,"1"
2013-04-27,"k",0.19535320861404,"1"
2013-04-28,"k",0.194745558415294,"1"
2013-04-29,"k",0.19409799251198,"1"
2013-04-30,"k",0.193410510904096,"1"
2013-05-01,"k",0.192683113591645,"1"
2013-05-02,"k",0.191915800574624,"1"
2013-05-03,"k",0.191108571853034,"1"
2013-05-04,"k",0.190261427426876,"1"
2013-05-05,"k",0.189374367296149,"1"
2013-05-06,"k",0.188447391460854,"1"
2013-05-07,"k",0.187480499920989,"1"
2013-05-08,"k",0.186473692676556,"1"
2013-05-09,"k",0.185426969727554,"1"
2013-05-10,"k",0.184340331073983,"1"
2013-05-11,"k",0.183213776715843,"1"
2013-05-12,"k",0.182047306653135,"1"
2013-05-13,"k",0.180840920885858,"1"
2013-05-14,"k",0.179594619414012,"1"
2013-05-15,"k",0.178308402237597,"1"
2013-05-16,"k",0.176982269356614,"1"
