"Date","variable","Parameter","Parameter_SD","volume","no.param"
2013-01-21,"k",0.152444056880689,0.0366144950320015,5,"3"
2013-01-22,"k",0.154281733403766,0.0366144950320015,5,"3"
2013-01-23,"k",0.155185715526049,0.0366144950320015,5,"3"
2013-01-24,"k",0.156079793555495,0.0366144950320015,5,"3"
2013-01-25,"k",0.156963967492103,0.0366144950320015,5,"3"
2013-01-26,"k",0.157838237335875,0.0366144950320015,5,"3"
2013-01-27,"k",0.158702603086809,0.0366144950320015,5,"3"
2013-01-28,"k",0.159557064744906,0.0366144950320015,5,"3"
2013-01-29,"k",0.160401622310166,0.0366144950320015,5,"3"
2013-01-30,"k",0.161236275782589,0.0366144950320015,5,"3"
2013-01-31,"k",0.162061025162175,0.0366144950320015,5,"3"
2013-02-01,"k",0.162875870448923,0.0366144950320015,5,"3"
2013-02-02,"k",0.163680811642835,0.0366144950320015,5,"3"
2013-02-03,"k",0.164475848743909,0.0366144950320015,5,"3"
2013-02-04,"k",0.165260981752146,0.0366144950320015,5,"3"
2013-02-05,"k",0.166036210667546,0.0366144950320015,5,"3"
2013-02-06,"k",0.166801535490109,0.0366144950320015,5,"3"
2013-02-07,"k",0.167556956219835,0.0366144950320015,5,"3"
2013-02-08,"k",0.168302472856724,0.0366144950320015,5,"3"
2013-02-09,"k",0.169038085400776,0.0366144950320015,5,"3"
2013-02-10,"k",0.16976379385199,0.0366144950320015,5,"3"
2013-02-11,"k",0.170479598210367,0.0366144950320015,5,"3"
2013-02-12,"k",0.171185498475908,0.0366144950320015,5,"3"
2013-02-13,"k",0.171881494648611,0.0366144950320015,5,"3"
2013-02-14,"k",0.172567586728477,0.0366144950320015,5,"3"
2013-02-15,"k",0.173243774715506,0.0366144950320015,5,"3"
2013-02-16,"k",0.173910058609697,0.0366144950320015,5,"3"
2013-02-17,"k",0.174566438411052,0.0366144950320015,5,"3"
2013-02-18,"k",0.175212914119569,0.0366144950320015,5,"3"
2013-02-19,"k",0.17584948573525,0.0366144950320015,5,"3"
2013-02-20,"k",0.176476153258093,0.0366144950320015,5,"3"
2013-02-21,"k",0.177092916688099,0.0366144950320015,5,"3"
2013-02-22,"k",0.177699776025268,0.0366144950320015,5,"3"
2013-02-23,"k",0.178296731269599,0.0366144950320015,5,"3"
2013-02-24,"k",0.178883782421094,0.0366144950320015,5,"3"
2013-02-25,"k",0.179460929479752,0.0366144950320015,5,"3"
2013-02-26,"k",0.180028172445572,0.0366144950320015,5,"3"
