"logLi","aic","bic","time","volume","no.param"
-92.253688921605,192.50737784321,199.057722482116,37.8757040500641,5,1
-216.90616841983,441.812336839661,448.362681478566,36.5654029846191,10,1
-142.489168037599,292.978336075198,299.528680714104,36.7412099838257,15,1
-89.583423042918,187.166846085836,193.717190724742,35.6632759571075,20,1
-128.903707717595,265.80741543519,272.357760074096,37.6693060398102,25,1
-169.270899851081,346.541799702162,353.092144341068,36.7665359973907,35,1
-316.720310760864,641.440621521728,647.990966160634,37.347452878952,1000,1
