"Date","volume","carbon_day"
2013-01-21,"5",7.07066497833565
2013-01-21,"10",7.51509307786744
2013-01-21,"15",8.24212005580872
2013-01-21,"20",8.40240986311923
2013-01-21,"25",8.48073133447224
2013-01-21,"35",8.16174212647831
2013-01-21,"1000",9.6391982466021
2013-01-22,"5",5.9152955945928
2013-01-22,"10",6.2681918472599
2013-01-22,"15",6.93280177683859
2013-01-22,"20",7.04611980635395
2013-01-22,"25",7.15237990827061
2013-01-22,"35",6.81658577624107
2013-01-22,"1000",8.13158795155933
2013-01-23,"5",4.98972160148263
2013-01-23,"10",5.14718566870032
2013-01-23,"15",5.57410821412731
2013-01-23,"20",5.69290300965847
2013-01-23,"25",5.75197276741455
2013-01-23,"35",5.505278768562
2013-01-23,"1000",6.17841495657667
2013-01-24,"5",7.03062744530167
2013-01-24,"10",7.46759419472802
2013-01-24,"15",8.22028334571901
2013-01-24,"20",8.39071060276677
2013-01-24,"25",8.46508512531329
2013-01-24,"35",8.10260771309905
2013-01-24,"1000",9.74415893937617
2013-01-25,"5",7.54646650837416
2013-01-25,"10",8.03676254408049
2013-01-25,"15",8.9242940183044
2013-01-25,"20",9.10056799848309
2013-01-25,"25",9.184122058474
2013-01-25,"35",8.75011503154716
2013-01-25,"1000",10.6010862442944
2013-01-26,"5",7.58185759008253
2013-01-26,"10",8.1242384325479
2013-01-26,"15",8.99458588209228
2013-01-26,"20",9.11915689529213
2013-01-26,"25",9.22346220645894
2013-01-26,"35",8.82658165376701
2013-01-26,"1000",10.5356775260247
2013-01-27,"5",4.65784654629581
2013-01-27,"10",4.74039617538252
2013-01-27,"15",5.13676295854608
2013-01-27,"20",5.172840069689
2013-01-27,"25",5.25525379732574
2013-01-27,"35",5.16304596940605
2013-01-27,"1000",5.47291321242345
2013-01-28,"5",2.88283253340448
2013-01-28,"10",2.84846018612679
2013-01-28,"15",3.07082272022233
2013-01-28,"20",3.05925250064626
2013-01-28,"25",3.10335849614317
2013-01-28,"35",3.04859947181417
2013-01-28,"1000",3.00318934449988
2013-01-29,"5",7.57024327079208
2013-01-29,"10",8.12541110188489
2013-01-29,"15",8.92081840269629
2013-01-29,"20",9.1611536337179
2013-01-29,"25",9.25863339371061
2013-01-29,"35",8.86168371500567
2013-01-29,"1000",10.8374732680996
2013-01-30,"5",6.5557065040341
2013-01-30,"10",6.99288393781259
2013-01-30,"15",7.67686305743986
2013-01-30,"20",7.8599679798779
2013-01-30,"25",7.90537500744508
2013-01-30,"35",7.60707437994326
2013-01-30,"1000",9.06963421581821
2013-01-31,"5",7.70847552925701
2013-01-31,"10",8.24584299892366
2013-01-31,"15",9.13282125327562
2013-01-31,"20",9.3428308180549
2013-01-31,"25",9.46624858326664
2013-01-31,"35",8.9994053700527
2013-01-31,"1000",11.0175718806643
2013-02-01,"5",4.09451794502649
2013-02-01,"10",4.28172194251039
2013-02-01,"15",4.73985513146488
2013-02-01,"20",4.83242382214819
2013-02-01,"25",4.89031662752262
2013-02-01,"35",4.70807848554942
2013-02-01,"1000",5.40611889438197
2013-02-02,"5",4.34421631946952
2013-02-02,"10",4.5352385363925
2013-02-02,"15",5.06699478974331
2013-02-02,"20",5.14850337713983
2013-02-02,"25",5.13478735902699
2013-02-02,"35",5.05547862710784
2013-02-02,"1000",5.73907674884251
2013-02-03,"5",6.2676056781239
2013-02-03,"10",6.67591315495872
2013-02-03,"15",7.52109260379231
2013-02-03,"20",7.6747118209978
2013-02-03,"25",7.60486856158996
2013-02-03,"35",7.461899156361
2013-02-03,"1000",8.93391251916522
2013-02-04,"5",6.79229756977203
2013-02-04,"10",7.27748177602468
2013-02-04,"15",8.03599962786991
2013-02-04,"20",8.21842999547865
2013-02-04,"25",8.26977757052954
2013-02-04,"35",7.98678124908769
