"volume","Date","rootmass","rootmass_SE"
5,2013-01-21,0.993,0.10297621084503
10,2013-01-21,0.993,0.10297621084503
15,2013-01-21,0.993,0.10297621084503
20,2013-01-21,0.993,0.10297621084503
25,2013-01-21,0.993,0.10297621084503
35,2013-01-21,0.993,0.10297621084503
1000,2013-01-21,0.993,0.10297621084503
5,2013-05-21,6.31714285714286,0.738395223797461
10,2013-05-21,10.1328571428571,1.5317193836084
15,2013-05-21,11.96,1.70545727669563
20,2013-05-21,11.3257142857143,1.48285765156198
25,2013-05-21,14.5057142857143,2.72315932788434
35,2013-05-21,23.7471428571429,4.37298241432137
1000,2013-05-21,83.6771428571429,8.79278591687466
