"Date","volume","Rd_daily"
2013-01-21,5,0.00207442410821136
2013-01-21,10,0.00247960436650484
2013-01-21,15,0.00200725652861845
2013-01-21,20,0.00202452528198652
2013-01-21,25,0.00149257751483214
2013-01-21,35,0.00179643440196164
2013-01-21,1000,0.00252924378923828
2013-01-22,5,0.00211699700052812
2013-01-22,10,0.00253049267293433
2013-01-22,15,0.00204845095733085
2013-01-22,20,0.0020660741130483
2013-01-22,25,0.00152320931358623
2013-01-22,35,0.00183330218037112
2013-01-22,1000,0.00258115083324911
2013-01-23,5,0.00194526218249855
2013-01-23,10,0.00232521430050246
2013-01-23,15,0.00188227672453224
2013-01-23,20,0.00189847025638178
2013-01-23,25,0.0013996436806522
2013-01-23,35,0.00168458122504586
2013-01-23,1000,0.00237176297462468
2013-01-24,5,0.00218661696764781
2013-01-24,10,0.00261371093759996
2013-01-24,15,0.00211581670620064
2013-01-24,20,0.00213401942037816
2013-01-24,25,0.00157330186558409
2013-01-24,35,0.00189359250552796
2013-01-24,1000,0.00266603505183655
2013-01-25,5,0.00243727477873957
2013-01-25,10,0.00291332768444619
2013-01-25,15,0.00235835849202521
2013-01-25,20,0.0023786478325114
2013-01-25,25,0.0017536537093906
2013-01-25,35,0.00211066013079476
2013-01-25,1000,0.0029716498532739
2013-01-26,5,0.00252713054442932
2013-01-26,10,0.00302073424035632
2013-01-26,15,0.00244530482648055
2013-01-26,20,0.00246634218037936
2013-01-26,25,0.00181830620495101
2013-01-26,35,0.00218847449289203
2013-01-26,1000,0.00308120659068283
2013-01-27,5,0.00184830923479085
2013-01-27,10,0.002209324328182
2013-01-27,15,0.00178846300703603
2013-01-27,20,0.00180384944426319
2013-01-27,25,0.00132988466215045
2013-01-27,35,0.00160062076105768
2013-01-27,1000,0.00225355299052965
2013-01-28,5,0.00174818193999774
2013-01-28,10,0.00208963998957807
2013-01-28,15,0.00169157772433476
2013-01-28,20,0.00170613064176607
2013-01-28,25,0.00125784165597944
2013-01-28,35,0.00151391133831732
2013-01-28,1000,0.00213147268039139
2013-01-29,5,0.00203723111873767
2013-01-29,10,0.00243514677524504
2013-01-29,15,0.00197126780739005
2013-01-29,20,0.00198822694395425
2013-01-29,25,0.00146581663234042
2013-01-29,35,0.00176422557564793
2013-01-29,1000,0.00248389619746224
2013-01-30,5,0.00197593861960898
2013-01-30,10,0.00236188251463801
2013-01-30,15,0.00191195989222246
2013-01-30,20,0.00192840879317641
2013-01-30,25,0.00142171581145947
2013-01-30,35,0.00171114677002611
2013-01-30,1000,0.00240916525303555
2013-01-31,5,0.00247503581905652
2013-01-31,10,0.0029584642792645
2013-01-31,15,0.00239489687123302
2013-01-31,20,0.00241550055731978
2013-01-31,25,0.00178082331250631
2013-01-31,35,0.00214336088451755
2013-01-31,1000,0.00301769004164174
2013-02-01,5,0.00169880304539194
2013-02-01,10,0.00203061632021699
2013-02-01,15,0.00164379766422982
2013-02-01,20,0.0016579395220571
2013-02-01,25,0.00122231284222137
2013-02-01,35,0.00147114961729336
2013-02-01,1000,0.00207126741088705
2013-02-02,5,0.00130615994678347
2013-02-02,10,0.00156128146340846
2013-02-02,15,0.00126386791891927
2013-02-02,20,0.00127474117954663
2013-02-02,25,0.000939800573868337
2013-02-02,35,0.00113112388810858
2013-02-02,1000,0.00159253689738612
2013-02-03,5,0.00155492897784875
2013-02-03,10,0.00185864051030678
2013-02-03,15,0.00150458208134501
2013-02-03,20,0.0015175262449406
2013-02-03,25,0.0011187934137051
2013-02-03,35,0.00134655584523795
2013-02-03,1000,0.00189584880177735
2013-02-04,5,0.00176888834391217
2013-02-04,10,0.0021143908056516
2013-02-04,15,0.00171161367757929
2013-02-04,20,0.00172633896756495
2013-02-04,25,0.00127274020674993
2013-02-04,35,0.00153184291565753
2013-02-04,1000,0.00215671898527704
2013-02-05,5,0.00179896354976448
2013-02-05,10,0.0021503403549553
2013-02-05,15,0.00174071508122073
2013-02-05,20,0.00175569073530036
2013-02-05,25,0.00129437974315495
2013-02-05,35,0.00155788779925935
2013-02-05,1000,0.00219338821184017
2013-02-06,5,0.00192390211309636
2013-02-06,10,0.00229968214381914
2013-02-06,15,0.00186160827077219
2013-02-06,20,0.0018776239885629
2013-02-06,25,0.0013842748083089
2013-02-06,35,0.00166608357871091
2013-02-06,1000,0.00234571968740133
2013-02-07,5,0.00205895832584533
2013-02-07,10,0.00246111777963264
2013-02-07,15,0.00199229151133894
2013-02-07,20,0.00200943151823695
2013-02-07,25,0.00148144966546061
2013-02-07,35,0.00178304116024909
2013-02-07,1000,0.0025103871177215
2013-02-08,5,0.00229348916750095
2013-02-08,10,0.0027414576082855
2013-02-08,15,0.00221922850132675
2013-02-08,20,0.00223832088394472
2013-02-08,25,0.00165019792643781
2013-02-08,35,0.0019861429611795
2013-02-08,1000,0.00279633909460716
2013-02-09,5,0.00230422261751802
2013-02-09,10,0.00275428753511899
2013-02-09,15,0.00222961441399335
2013-02-09,20,0.00224879614830193
2013-02-09,25,0.00165792079568554
2013-02-09,35,0.00199543804157607
2013-02-09,1000,0.00280942586489937
2013-02-10,5,0.00213830569973507
2013-02-10,10,0.00255596342570321
2013-02-10,15,0.00206906970420628
2013-02-10,20,0.00208687024634618
2013-02-10,25,0.00153854122434676
2013-02-10,35,0.00185175534053489
2013-02-10,1000,0.00260713148730754
2013-02-11,5,0.00167014602721445
2013-02-11,10,0.00199636196156264
2013-02-11,15,0.00161606852890026
2013-02-11,20,0.00162997182848035
2013-02-11,25,0.00120169371192658
2013-02-11,35,0.00144633287268077
