DateTime15,PPFD_Avg.mean,AirTC_Avg.mean,RH.mean,,
2/01/13 2:00,0.027666667,17.61666667,91.63333333,,
2/01/13 2:15,0.011,17.48666667,91.86666667,,
2/01/13 2:30,0.008333333,17.45666667,92.03333333,,
2/01/13 2:45,0.008333333,17.56,92.1,,
2/01/13 3:00,0.022,17.48333333,92.23333333,,
2/01/13 3:15,0.033,17.63333333,92.4,,
2/01/13 3:30,0.028,17.99333333,92.73333333,,
2/01/13 3:45,0.039,18.29666667,92.56666667,,
2/01/13 4:00,0.036,18.15666667,92.63333333,,
2/01/13 4:15,0.044333333,18.64,92.76666667,,
2/01/13 4:30,0.044333333,18.76333333,92.66666667,,
2/01/13 4:45,0.384333333,18.8,92.46666667,,
2/01/13 5:00,3.286,18.84,92.2,,
2/01/13 5:15,12.68666667,18.98,91.83333333,,
2/01/13 5:30,33.26666667,19.20666667,91.36666667,,
2/01/13 5:45,70.04333333,19.46,90.66666667,,
2/01/13 6:00,101.8666667,19.74333333,89.66666667,,
2/01/13 6:15,163.5,20.10666667,88.2,,
2/01/13 6:30,232.4333333,20.47666667,85.36666667,,
2/01/13 6:45,383.5,20.97666667,80.59,,
2/01/13 7:00,663,21.95333333,74.91333333,,
2/01/13 7:15,792.8,22.61666667,70.35,,
2/01/13 7:30,963.3333333,23.16333333,68.00666667,,
2/01/13 7:45,1080,23.10666667,67.58666667,,
2/01/13 8:00,649.2666667,23.17333333,66.29,,
2/01/13 8:15,571.7,22.93,66.93666667,,
2/01/13 8:30,449,22.78,66.48333333,,
2/01/13 8:45,1310,23.50333333,61.49333333,,
2/01/13 9:00,1657.333333,24.65,55.26666667,,
2/01/13 9:15,1847.333333,24.73333333,52.20333333,,
2/01/13 9:30,1001.333333,24.73333333,52.77666667,,
2/01/13 9:45,895.9333333,24.77,53.96666667,,
2/01/13 10:00,1608.333333,25.20666667,51.34333333,,
2/01/13 10:15,1429.666667,25.78,49.3,,
2/01/13 10:30,1477,26.07,49.34333333,,
2/01/13 10:45,964.3333333,25.72666667,49.63,,
2/01/13 11:00,1784.333333,25.97666667,50.47,,
2/01/13 11:15,1599.333333,26.18,48.81,,
2/01/13 11:30,1185.966667,26.07333333,49.44666667,,
2/01/13 11:45,1165.666667,26.03333333,49.28333333,,
2/01/13 12:00,1273,26.30666667,47.71666667,,
2/01/13 12:15,1314.233333,26.47666667,47.63666667,,
2/01/13 12:30,713.3,25.84333333,48.92666667,,
