r2,intercept,b,p,volume
0.514479611,0.867633607,-0.028748068,7.86E-11,5
0.467695488,0.913571891,-0.020517834,1.24E-09,10
0.479884283,0.905446619,-0.022326336,6.19E-10,15
0.516645085,0.876791804,-0.025765584,6.88E-11,20
0.502842171,0.88671432,-0.025129597,1.60E-10,25
0.483673929,0.897609744,-0.024032032,4.97E-10,35
0.497643137,0.891593171,-0.024167906,2.18E-10,1000
