"Date","volume","tdc_gross"
2013-01-21,"10",0.138664401883303
2013-01-21,"1000",0.373647782558538
2013-01-21,"15",0.225521821924363
2013-01-21,"20",0.126218142866654
2013-01-21,"25",0.157868487423754
2013-01-21,"35",0.210960481829786
2013-01-21,"5",0.126370318179419
2013-01-22,"10",0.099267685049461
2013-01-22,"1000",0.30304951575965
2013-01-22,"15",0.161644471573631
2013-01-22,"20",0.0884024761153021
2013-01-22,"25",0.104355399851704
2013-01-22,"35",0.155198514723992
2013-01-22,"5",0.081872390822453
2013-01-23,"10",0.0717130590298468
2013-01-23,"1000",0.232844171411318
2013-01-23,"15",0.115093446071227
2013-01-23,"20",0.0613095326889226
2013-01-23,"25",0.0724077219364762
2013-01-23,"35",0.116983156534448
2013-01-23,"5",0.0559766469692048
2013-01-24,"10",0.0944825123064812
2013-01-24,"1000",0.354195430255548
2013-01-24,"15",0.154038413540789
2013-01-24,"20",0.081439025438492
2013-01-24,"25",0.0960647659246206
2013-01-24,"35",0.153915276612749
2013-01-24,"5",0.0717990894159576
2013-01-25,"10",0.102456656786406
2013-01-25,"1000",0.388899649528944
2013-01-25,"15",0.167745957565006
2013-01-25,"20",0.088635528160946
2013-01-25,"25",0.0949842327218276
2013-01-25,"35",0.166823792657522
2013-01-25,"5",0.0708747362540951
2013-01-26,"10",0.103960747369176
2013-01-26,"1000",0.390481869789543
2013-01-26,"15",0.169845958860802
2013-01-26,"20",0.0978539187484123
2013-01-26,"25",0.105767508748567
2013-01-26,"35",0.169084095246251
2013-01-26,"5",0.0720998820669429
2013-01-27,"10",0.0666572878323801
2013-01-27,"1000",0.20650786743894
2013-01-27,"15",0.105811379518929
2013-01-27,"20",0.0609246527133034
2013-01-27,"25",0.066524378244043
2013-01-27,"35",0.108146319617939
2013-01-27,"5",0.0527406820722217
2013-01-28,"10",0.0452771573785728
2013-01-28,"1000",0.121609289715691
2013-01-28,"15",0.0706716887985502
2013-01-28,"20",0.0433666035539837
2013-01-28,"25",0.0477873820618609
2013-01-28,"35",0.0728067276272551
2013-01-28,"5",0.0396206734038953
2013-01-29,"10",0.132009217893127
2013-01-29,"1000",0.391919317969698
2013-01-29,"15",0.216251632466816
2013-01-29,"20",0.144077358136294
2013-01-29,"25",0.151493337554912
2013-01-29,"35",0.211735140857273
2013-01-29,"5",0.114170820828145
2013-01-30,"10",0.128873875854406
2013-01-30,"1000",0.332222512103141
2013-01-30,"15",0.209934004567024
2013-01-30,"20",0.145415053090118
2013-01-30,"25",0.155375891111328
2013-01-30,"35",0.209944938272965
2013-01-30,"5",0.117421276885027
2013-01-31,"10",0.178175076198368
2013-01-31,"1000",0.428793686296605
2013-01-31,"15",0.278870097186104
2013-01-31,"20",0.199430112531207
2013-01-31,"25",0.215618206811736
2013-01-31,"35",0.26585108869852
2013-01-31,"5",0.165177247266174
2013-02-01,"10",0.103353654385971
2013-02-01,"1000",0.216670855365486
2013-02-01,"15",0.167004516675421
2013-02-01,"20",0.117506079385613
2013-02-01,"25",0.128722028014941
2013-02-01,"35",0.157375483471732
