plot,pot,Date,volume,campaign,leaf_area,leaf_mass,sla,massarea,starch_mgperg,sugars_mgperg,starch,sugars,tnc,lma_notnc
5,3,7/03/2013,10,1,13.9,0.15,0.009266667,107.9136691,186.222973,42.48225225,0.186222973,0.042482252,0.228705225,139.9123559
5,3,22/03/2013,10,2,11.29,0.12,0.009408333,106.2887511,182.4485294,58.21738051,0.182448529,0.058217381,0.24066591,139.9762667
5,3,8/04/2013,10,3,13.305,0.155,0.008583871,116.4975573,151.1884617,45.60427885,0.151188462,0.045604279,0.196792741,145.0404686
5,3,17/04/2013,10,4,13.38,0.17,0.007870588,127.0553064,111.3263158,75.50126433,0.111326316,0.075501264,0.18682758,156.2464532
5,3,1/05/2013,10,5,6.39,0.06,0.01065,93.89671362,131.987234,92.00655851,0.131987234,0.092006559,0.223993793,120.9999517
5,3,16/05/2013,10,6,11.165,0.145,0.0077,129.8701299,64.16666667,85.17819198,0.064166667,0.085178192,0.149344859,152.6707164
5,4,8/04/2013,15,3,14.885,0.115,0.012943478,77.25898556,15.44943809,70.95026685,0.015449438,0.070950267,0.086399705,84.56541222
5,4,17/04/2013,15,4,24,0.2,0.012,83.33333333,14.68791946,79.49141946,0.014687919,0.079491419,0.094179339,91.99760716
5,4,1/05/2013,15,5,13.39,0.12,0.011158333,89.61911875,12.02764977,85.83067972,0.01202765,0.08583068,0.097858329,99.34040481
5,4,16/05/2013,15,6,26.395,0.27,0.009775926,102.2921008,33.14285714,104.2436357,0.033142857,0.104243636,0.137386493,118.5839312
5,5,7/03/2013,20,1,21,0.25,0.0084,119.047619,140.6366782,49.89197232,0.140636678,0.049891972,0.190528651,147.0683541
5,5,22/03/2013,20,2,12.28,0.15,0.008186667,122.1498371,13.54205607,70.56471964,0.013542056,0.07056472,0.084106776,133.3668968
5,5,8/04/2013,20,3,13.41,0.155,0.008651613,115.585384,55.19548861,60.98595395,0.055195489,0.060985954,0.116181443,130.7795396
5,5,17/04/2013,20,4,10.62,0.14,0.007585714,131.826742,29.91397849,63.73227121,0.029913978,0.063732271,0.09364625,145.4473399
5,5,1/05/2013,20,5,10.59,0.15,0.00706,141.6430595,14.175,88.8266875,0.014175,0.088826688,0.103001688,157.9078327
5,5,16/05/2013,20,6,9.935,0.115,0.00863913,115.7523905,25.70616114,91.24580909,0.025706161,0.091245809,0.11695197,131.0827799
5,6,7/03/2013,1000,1,40.5,0.23,0.017608696,56.79012346,102.4253731,53.18355721,0.102425373,0.053183557,0.15560893,67.25571302
5,6,22/03/2013,1000,2,49.87,0.31,0.016087097,62.16162021,32.21359223,76.1477311,0.032213592,0.076147731,0.108361323,69.71615503
5,6,8/04/2013,1000,3,27.855,0.195,0.014284615,70.00538503,51.39,106.6169292,0.05139,0.106616929,0.158006929,83.14247166
5,6,17/04/2013,1000,4,28.26,0.2,0.01413,70.77140835,26.73046875,61.63949609,0.026730469,0.061639496,0.088369965,77.63172079
5,6,1/05/2013,1000,5,44.74,0.48,0.009320833,107.2865445,90.86956522,98.826407,0.090869565,0.098826407,0.189695972,132.4028276
5,6,16/05/2013,1000,6,31.83,0.36,0.008841667,113.1008483,125.9142857,80.49935437,0.125914286,0.080499354,0.20641364,142.5186394
5,7,7/03/2013,35,1,30.2,0.19,0.015894737,62.91390728,95.70731707,70.22418699,0.095707317,0.070224187,0.165931504,75.43014464
5,7,22/03/2013,35,2,35.98,0.25,0.014392,69.48304614,23.56730769,86.18958821,0.023567308,0.086189588,0.109756896,78.04951908
5,7,8/04/2013,35,3,27.115,0.21,0.012911905,77.44790706,42.03225806,72.22395609,0.042032258,0.072223956,0.114256214,87.43827312
5,7,17/04/2013,35,4,35.42,0.34,0.010417647,95.99096556,77.56719368,52.02467852,0.077567194,0.052024679,0.129591872,110.2827082
5,7,1/05/2013,35,5,20.28,0.21,0.009657143,103.5502959,37.69626168,87.09669977,0.037696262,0.0870967,0.124792961,118.3152001
5,7,16/05/2013,35,6,34.62,0.34,0.010182353,98.20912767,59.36111111,73.81403704,0.059361111,0.073814037,0.133175148,113.297545
5,8,22/03/2013,5,2,16.84,0.17,0.009905882,100.9501188,47.76136364,54.50291193,0.047761364,0.054502912,0.102264276,112.4497065
5,8,8/04/2013,5,3,13.04,0.15,0.008693333,115.0306748,142.8185328,73.88084459,0.142818533,0.073880845,0.216699377,146.8538024
5,8,17/04/2013,5,4,22.61,0.26,0.008696154,114.9933658,92.87258687,61.17201416,0.092872587,0.061172014,0.154044601,135.9331306
5,8,16/05/2013,5,6,14.335,0.19,0.007544737,132.5427276,50.23963134,87.06147389,0.050239631,0.087061474,0.137301105,153.6372985
6,1,7/03/2013,35,1,40.2,0.25,0.01608,62.18905473,106.5679012,51.79438957,0.106567901,0.05179439,0.158362291,73.89052801
6,1,22/03/2013,35,2,50.68,0.41,0.012360976,80.89976322,93.38541667,51.73624913,0.093385417,0.051736249,0.145121666,94.63307231
6,1,8/04/2013,35,3,47.43,0.44,0.010779545,92.76829011,95.95555567,90.4441713,0.095955556,0.090444171,0.186399727,114.0219506
6,1,17/04/2013,35,4,27.35,0.23,0.011891304,84.09506399,83.81521739,51.32216546,0.083815217,0.051322165,0.135137383,97.23517044
6,1,1/05/2013,35,5,25.55,0.29,0.008810345,113.5029354,99.89861751,60.568053,0.099898618,0.060568053,0.160466671,135.1976526
6,1,16/05/2013,35,6,14.6,0.18,0.008111111,123.2876712,112.6256158,73.06331076,0.112625616,0.073063311,0.185688927,151.401197
6,3,7/03/2013,5,1,27.1,0.21,0.012904762,77.49077491,84.2749004,37.39921647,0.0842749,0.037399216,0.121674117,88.22553951
