"Date","volume","tnc","tnc_SE"
2013-03-07,5,1.12920123270042,0.121092728475793
2013-03-22,5,0.939446496030088,0.104995991941345
2013-04-08,5,0.933781778711285,0.0437555453871627
2013-04-17,5,0.61128653924438,0.0414942812652293
2013-05-01,5,0.437351124688767,0.0219930315254262
2013-05-16,5,0.392796709474887,0.0261146981464967
2013-03-07,10,1.09920349538898,0.0868323907025539
2013-03-22,10,0.926897172897463,0.123797484843439
2013-04-08,10,1.0337762748707,0.0583196327222184
2013-04-17,10,0.763872591324604,0.0879565139793982
2013-05-16,10,0.533597688065159,0.0222295995557942
2013-05-01,10,0.520934818866939,0.0586790568993189
2013-03-22,15,0.816053947212075,0.089063833752307
2013-04-08,15,1.03413730405234,0.0997601053902102
2013-04-17,15,1.02827282098038,0.135361802554346
2013-05-01,15,1.01338791515353,0.092319271228758
2013-05-16,15,0.906923251258271,0.0801318446648477
2013-03-07,15,0.678496667794119,0.100878915823828
2013-03-07,20,0.849376733089107,0.0430960000297066
2013-03-22,20,0.828401698234614,0.104552036545231
2013-04-08,20,0.770201317164896,0.104498317016809
2013-04-17,20,0.56339494710349,0.0804229050277894
2013-05-01,20,0.595157095573152,0.0358645190887464
2013-05-16,20,0.645310361518467,0.0515446694267977
2013-03-07,25,1.3722722396405,0.135381212904304
2013-03-22,25,1.26678290893185,0.185922635303502
2013-04-08,25,1.56785888818652,0.0951935130792012
2013-04-17,25,1.14645356171344,0.0831511096586893
2013-05-01,25,1.1462115496273,0.110975851401112
2013-05-16,25,1.16347113498357,0.0705465048995485
2013-03-07,35,1.83730936889718,0.155343625618111
2013-03-22,35,2.04329878898354,0.15829285742877
2013-04-08,35,2.77943962953731,0.200521709676109
2013-04-17,35,2.36107234693888,0.231329957922878
2013-05-01,35,2.42682329134396,0.185103746350179
2013-05-16,35,2.70367676660514,0.244760484561334
2013-03-07,1000,2.24353038630886,0.20635097032997
2013-03-22,1000,3.07585371675463,0.561824982109419
2013-04-08,1000,7.08543257185017,0.682617296389322
2013-04-17,1000,6.26226023135865,0.647928310230126
2013-05-01,1000,7.82328414261996,0.734007642520743
2013-05-16,1000,8.65358555133434,0.474094692228361
