volume,mass,leafarea
5,14.83501207,0.020858143
10,20.038013,0.025999286
15,25.42977407,0.052731571
20,23.42786499,0.044658714
25,30.43889849,0.055228571
35,52.23404361,0.105558571
1000,174.5310486,0.471928714
