volume,rd12.3,rd25_euct,rd25_eucs
5,0.353812342,3.682139625,3.821367935
10,0.463479224,2.950189277,3.060746145
15,0.325574131,4.008015434,4.161762361
20,0.336821476,3.808741702,3.952227007
25,0.281635834,4.419561141,4.587056877
35,0.324767043,3.996722474,4.149497024
1000,0.443782048,3.102160094,3.220154838
